"id (int32)	trade_engine_id (int32)	trade_engine_name (string:45)	trade_engine_title (string:765)	market_id (int32)	market_name (string:45)	name (string:192)	title (string:765)	is_default (int32)	board_group_id (int32)	is_traded (int32)	is_order_driven (int32)	category (string:45)"
"9	1	stock	Фондовый рынок и рынок депозитов	5	index	stock_index	Индексы	1	9	1	null	main"
"104	1	stock	Фондовый рынок и рынок депозитов	5	index	stock_index_inav	INAV	0	104	1	null	main"
"155	1	stock	Фондовый рынок и рынок депозитов	5	index	stock_index_mmix	Money Market IndeX	0	155	1	null	main"
"1028	1	stock	Фондовый рынок и рынок депозитов	5	index	stock_index_namex	Индексы НТБ	0	1028	1	null	main"
"287	1	stock	Фондовый рынок и рынок депозитов	5	index	stock_index_sdfi	Индексы СПФИ	0	287	1	null	main"
"57	1	stock	Фондовый рынок и рынок депозитов	1	shares	stock_shares_tplus	Т+: Основной режим - безадрес.	1	57	1	1	main"
"156	1	stock	Фондовый рынок и рынок депозитов	1	shares	stock_shares_tplus_usd	Т+: Основной режим (USD) - безадрес.	0	156	1	1	main"
"6	1	stock	Фондовый рынок и рынок депозитов	1	shares	stock_shares	Т0: Основной режим - безадрес.	0	6	0	1	main"
"125	1	stock	Фондовый рынок и рынок депозитов	1	shares	stock_shares_settle	Поставка по СК	0	125	1	null	main"
"21	1	stock	Фондовый рынок и рынок депозитов	1	shares	stock_shares_sm	Неполные лоты - безадрес.	0	21	1	1	main"
"42	1	stock	Фондовый рынок и рынок депозитов	1	shares	stock_shares_darkpool	Крупные пакеты - безадрес.	0	42	1	1	main"
"99	1	stock	Фондовый рынок и рынок депозитов	1	shares	stock_etf_usd	Т0 ETF (USD) - безадрес.	0	99	0	1	main"
"157	1	stock	Фондовый рынок и рынок депозитов	1	shares	stock_shares_tplus_eur	Т+: Основной режим (EUR) - безадрес.	0	157	1	1	main"
"159	1	stock	Фондовый рынок и рынок депозитов	1	shares	stock_shares_etf_eur	Т0 ETF (расч. в EUR) - безадрес.	0	159	0	1	main"
"30	1	stock	Фондовый рынок и рынок депозитов	1	shares	stock_shares_cc	ЦК - Режим основных торгов - безадрес.	0	30	0	1	main"
"58	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_bonds_tplus	Т+: Основной режим - безадрес.	1	58	1	1	main"
"193	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_bonds_tplus_usd	Т+: Основной режим (USD) - безадрес.	0	193	1	1	main"
"68	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_etc_tplus	Т+: Основной режим (ЕТС) - безадрес.	0	68	0	1	main"
"7	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_bonds	Т0: Основной режим - безадрес.	0	7	0	1	main"
"105	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_bonds_settle	Поставка по СК	0	105	1	null	main"
"69	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_etc	Т0: Основной режим (ЕТС) - безадрес.	0	69	0	1	main"
"67	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_bonds_euro	Т0: Основной режим (Еврооблигации) - безадрес.	0	67	0	1	main"
"122	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_bonds_buyback	Выкуп - безадрес.	0	122	1	1	main"
"123	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_bonds_distribution	Размещение - безадрес.	0	123	1	1	main"
"77	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_bonds_darkpools	Крупные пакеты - безадрес.	0	77	1	1	main"
"207	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_bonds_tplus_eur	Т+: Облигации (EUR) - безадрес.	0	207	1	1	main"
"167	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_bonds_darkpools_usd	Крупные пакеты – Облигации (USD) - безадрес.	0	167	1	1	main"
"245	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_bonds_tplus_cny	Т+: Облигации (CNY) - безадрес.	0	245	1	1	main"
"257	1	stock	Фондовый рынок и рынок депозитов	2	bonds	stock_bonds_auct_pact	Аукцион: адресные заявки	0	257	1	null	main"
"59	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_tplus	Т+: РПС с ЦК - адрес.	0	59	1	0	main"
"74	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_usd	РПС (USD) - адрес.	0	74	1	0	main"
"8	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm	РПС - адрес.	1	8	1	0	main"
"106	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_currency	РПС: В валюте - адрес.	0	106	1	0	main"
"107	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_issuance	РПС: Размещение - адрес.	0	107	1	0	main"
"108	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_buyback	РПС: Выкуп - адрес.	0	108	1	0	main"
"121	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_buyback_eur	РПС: Выкуп (EUR) - адрес.	0	121	0	0	main"
"126	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_anonymous	Анонимный РПС - адрес.	0	126	1	0	main"
"203	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_anonymous_usd	Анонимный РПС (USD) - адрес.	0	203	1	0	main"
"205	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_anonymous_eur	Анонимный РПС (EUR) - адрес.	0	205	1	0	main"
"73	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_tplus_usd	Т+: РПС с ЦК (USD) - адрес.	0	73	1	0	main"
"124	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_buyback_usd	РПС: Выкуп (USD) - адрес.	0	124	1	0	main"
"209	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_ccp_bonds_eur	РПС с ЦК: Облигации (EUR) - адрес.	0	209	1	0	main"
"160	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_eur	РПС (EUR) - адрес.	0	160	1	0	main"
"163	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_tplus_eur	Т+: РПС с ЦК (EUR) - адрес.	0	163	1	0	main"
"282	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_ccp_bonds	РПС с ЦК: Облигации - адрес.	0	282	1	0	main"
"283	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_ccp_bonds_usd	РПС с ЦК: Облигации (USD) - адрес.	0	283	1	0	main"
"284	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_bonds	РПС: Облигации - адрес.	0	284	1	0	main"
"285	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_bonds_usd	РПС: Облигации (USD) - адрес.	0	285	1	0	main"
"286	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_bonds_eur	РПС: Облигации (EUR) - адрес.	0	286	1	0	main"
"247	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_bonds_cny	РПС: Облигации (CNY) - адрес.	0	247	1	0	main"
"249	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_ccp_bonds_cny	РПС с ЦК: Облигации (CNY) - адрес.	0	249	0	0	main"
"32	1	stock	Фондовый рынок и рынок депозитов	4	ndm	stock_ndm_cc	ЦК - РПС - адрес.	0	32	0	0	main"
"71	1	stock	Фондовый рынок и рынок депозитов	29	otc	stock_otc	Репортинг внебиржевых сделок (06-67/пз-н)	1	71	1	0	otc"
"92	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_d_usd	РЕПО с ЦК 1 день (USD) - безадрес.	0	92	1	1	main"
"93	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_d_eur	РЕПО с ЦК 1 день (EUR) - безадрес.	0	93	1	1	main"
"76	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_w	РЕПО с ЦК 7 дней (RUB) - безадрес.	0	76	1	1	main"
"78	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_w_usd	РЕПО с ЦК 7 дней (USD) - безадрес.	0	78	1	1	main"
"79	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_w_eur	РЕПО с ЦК 7 дней (EUR) - безадрес.	0	79	1	1	main"
"50	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp	РЕПО с ЦК 1 день (RUB) - безадрес.	1	50	1	1	main"
"142	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_m	РЕПО с ЦК 1 мес.(RUB) - безадрес.	0	142	1	1	main"
"143	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_m_usd	РЕПО с ЦК 1 мес. (USD) - безадрес.	0	143	1	1	main"
"144	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_m_eur	РЕПО с ЦК 1 мес. (EUR) - безадрес.	0	144	1	1	main"
"145	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_3m	РЕПО с ЦК 3 мес. (RUB) - безадрес.	0	145	1	1	main"
"146	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_3m_usd	РЕПО с ЦК 3 мес. (USD) - безадрес.	0	146	1	1	main"
"147	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_3m_eur	РЕПО с ЦК 3 мес. (EUR) - безадрес.	0	147	1	1	main"
"148	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_liq	РЕПО с ЦК: Урегулирование - безадрес.	0	148	1	1	main"
"152	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_d_cny	РЕПО с ЦК 1 день (CNY) - безадрес.	0	152	1	1	main"
"153	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_ndm_cny	РЕПО с ЦК (CNY) - адрес.	0	153	1	0	main"
"65	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_ndm	РЕПО с ЦК (RUB) - адрес.	0	65	1	0	main"
"91	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_ndm_usd	РЕПО с ЦК (USD) - адрес.	0	91	1	0	main"
"96	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_ndm_eur	РЕПО с ЦК (EUR) - адрес.	0	96	1	0	main"
"169	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fk_d	Аукцион с ЦК 1 день - безадрес.	0	169	1	1	main"
"171	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fk_2	Аукцион с ЦК 1 неделя - безадрес.	0	171	1	1	main"
"173	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fk_2w	Аукцион с ЦК 2 недели - безадрес.	0	173	1	1	main"
"281	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fk_5w	Аукцион с ЦК 5 недель - безадрес.	0	281	1	1	main"
"175	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fk_m	Аукцион с ЦК 1 месяц - безадрес.	0	175	1	1	main"
"177	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fk_2m	Аукцион с ЦК 2 месяца - безадрес.	0	177	1	1	main"
"179	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fk_3m	Аукцион с ЦК 3 месяца - безадрес.	0	179	1	1	main"
"181	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fk_6	Аукцион с ЦК 6 месяцев - безадрес.	0	181	1	1	main"
"183	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fk_1y	Аукцион с ЦК 1 год - безадрес.	0	183	1	1	main"
"288	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fr_repo_1d	Аукцион РЕПО с ЦК 1 день - безадрес.	0	288	1	1	main"
"289	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fr_repo_1w	Аукцион РЕПО с ЦК 1 неделя - безадрес.	0	289	1	1	main"
"296	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fr_repo_2w	Аукцион РЕПО с ЦК 2 недели - безадрес.	0	296	1	1	main"
"297	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fr_repo_5w	Аукцион РЕПО с ЦК 5 недель - безадрес.	0	297	1	1	main"
"290	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fr_repo_1m	Аукцион РЕПО с ЦК 1 месяц - безадрес.	0	290	1	1	main"
"291	1	stock	Фондовый рынок и рынок депозитов	27	ccp	stock_ccp_fr_repo_3m	Аукцион РЕПО с ЦК 3 месяца - безадрес.	0	291	1	1	main"
"97	1	stock	Фондовый рынок и рынок депозитов	35	deposit	stock_deposit_order	Депозиты с ЦК - безадрес.	1	97	1	1	main"
"98	1	stock	Фондовый рынок и рынок депозитов	35	deposit	stock_deposit_off_order	Депозиты с ЦК - адрес.	0	98	1	0	main"
"109	1	stock	Фондовый рынок и рынок депозитов	35	deposit	stock_deposit_off_order_usd	Депозиты с ЦК (USD) - адрес.	0	109	1	0	main"
"136	1	stock	Фондовый рынок и рынок депозитов	35	deposit	stock_deposit_off_order_eur	Депозиты с ЦК (EUR) - адрес.	0	136	0	0	main"
"110	1	stock	Фондовый рынок и рынок депозитов	35	deposit	stock_deposit_order_usd	Депозиты с ЦК (USD) - безадрес.	0	110	1	1	main"
"137	1	stock	Фондовый рынок и рынок депозитов	35	deposit	stock_deposit_order_eur	Депозиты с ЦК (EUR) - безадрес.	0	137	1	1	main"
"185	1	stock	Фондовый рынок и рынок депозитов	35	deposit	stock_deposit_close_auct	Депозиты с ЦК - Аукцион	0	185	1	null	main"
"201	1	stock	Фондовый рынок и рынок депозитов	3	repo	stock_repo_interdealer_m	РЕПО-М - адрес.	1	201	1	0	main"
"1	1	stock	Фондовый рынок и рынок депозитов	3	repo	stock_shares_repo	РЕПО с акциями - адрес.	0	1	0	1	main"
"95	1	stock	Фондовый рынок и рынок депозитов	3	repo	stock_repo_interdealer_rub	Междилерское РЕПО (RUB) - адрес.	0	95	0	0	main"
"94	1	stock	Фондовый рынок и рынок депозитов	3	repo	stock_repo_interdealer_usd	Междилерское РЕПО (USD) - адрес.	0	94	1	0	main"
"90	1	stock	Фондовый рынок и рынок депозитов	3	repo	stock_repo_interdealer_eur	Междилерское РЕПО (EUR) - адрес.	0	90	1	0	main"
"2	1	stock	Фондовый рынок и рынок депозитов	3	repo	stock_bond_repo	РЕПО с облигациями - адрес.	0	2	0	0	main"
"31	1	stock	Фондовый рынок и рынок депозитов	3	repo	stock_repo_cc	ЦК - РЕПО - адрес.	0	31	0	0	main"
"63	1	stock	Фондовый рынок и рынок депозитов	28	qnv	stock_qnv_tplus	Т+: Для квал. инвесторов - безадрес.	1	63	0	1	main"
"60	1	stock	Фондовый рынок и рынок депозитов	28	qnv	stock_qnv_main	Т0: Квал. инвесторы - безадрес.	0	60	0	1	main"
"61	1	stock	Фондовый рынок и рынок депозитов	28	qnv	stock_qnv_ndm	РПС: Для квал. инвесторов - адрес.	0	61	0	0	main"
"64	1	stock	Фондовый рынок и рынок депозитов	28	qnv	stock_qnv_ndm_tplus	РПС с ЦК: Для квал. инвесторов - адрес.	0	64	0	0	main"
"62	1	stock	Фондовый рынок и рынок депозитов	28	qnv	stock_qnv_repo	РЕПО: Для квал. инвесторов - адрес.	0	62	0	0	main"
"87	1	stock	Фондовый рынок и рынок депозитов	28	qnv	stock_qnv_tplus_usd	Т+: Для квал. инвесторов (USD) - безадрес.	0	87	0	1	main"
"120	1	stock	Фондовый рынок и рынок депозитов	36	mamc	stock_mamc_liq	Безадресные сделки с ЦК	1	120	1	1	main"
"1082	1	stock	Фондовый рынок и рынок депозитов	36	mamc	stock_nonresmamc_liq	Урегулирование с ЦК Нерезиденты - безадрес.	0	1082	1	1	nonres"
"265	1	stock	Фондовый рынок и рынок депозитов	47	foreignshares	stock_foreign_shares	Т+ Ин.Акции и ДР - безадрес.	1	265	1	1	main"
"292	1	stock	Фондовый рынок и рынок депозитов	47	foreignshares	stock_foreignshares_tplus_usd	Т+: Ин.Акции и ДР (USD) - безадрес.	0	292	1	1	main"
"293	1	stock	Фондовый рынок и рынок депозитов	49	foreignndm	stock_foreignndm_ccp_usd	Т+: РПС с ЦК: Ин.Акции и ДР (USD) - адрес.	0	293	1	0	main"
"294	1	stock	Фондовый рынок и рынок депозитов	49	foreignndm	stock_foreignndm_usd	РПС: Ин.Акции (USD) - адрес.	0	294	1	0	main"
"267	1	stock	Фондовый рынок и рынок депозитов	49	foreignndm	stock_foreign_ccp	РПС с ЦК: Ин.Акции и ДР - адрес.	0	267	1	0	main"
"269	1	stock	Фондовый рынок и рынок депозитов	49	foreignndm	stock_foreign_ndm	РПС: Ин.Акции - адрес.	1	269	1	0	main"
"72	1	stock	Фондовый рынок и рынок депозитов	33	moexboard	stock_moexboard	MOEX Board	1	72	1	null	main"
"86	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_d	РЕПО с ЦК с КСУ 1 день - безадрес.	1	86	1	1	main"
"83	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_w	РЕПО с ЦК с КСУ 7 дн. - безадрес.	0	83	1	1	main"
"80	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_2w	РЕПО с ЦК с КСУ 14 дн. - безадрес.	0	80	1	1	main"
"84	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_m	РЕПО с ЦК с КСУ 1 месяц - безадрес.	0	84	1	1	main"
